name,processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,price(in Rp.),brand,ram_size,ram_type,processor_brand,storage_size,storage_type,cluster,cluster_label
Lenovo Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,453.0,38.0,7273035.0,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,9991449.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,14.0,4.3,389.0,44.0,7743420.899999999,Asus,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
APPLE 2020 Macbook Air M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,512 GB SSD,13.3,4.6,1149.0,126.0,20778210.9,Apple,8,DDR4,Apple,512 GB,SSD,0,General Purpose
Lenovo IdeaPad 3 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,4658.0,449.0,7310628.09,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,17.3,4.5,533.0,93.0,12201696.9,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
acer Nitro 5 Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 10,1 TB HDD|256 GB SSD,15.6,4.4,497.0,69.0,21781323.0,Acer,16,DDR4,AMD,1 TB,HDD,3,Mid-Range (Work/Productivity)
acer Travelmate Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 10,1 TB HDD|256 GB SSD,14.0,4.1,68.0,6.0,8697416.4,Acer,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,280.0,21.0,10010340.9,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Ryzen 5 Dual Core 5th Gen,AMD Ryzen 5 Dual Core Processor (5th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,10.0,1.0,10577070.9,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
HP Celeron Dual Core,Intel Celeron Dual Core Processor,8 GB DDR4,Windows 11,256 GB SSD,14.0,3.7,65.0,7.0,4722561.09,Hp,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,Windows 11,1 TB SSD,17.3,4.5,17.0,4.0,14544180.9,Asus,8,DDR4,AMD,1 TB,SSD,0,General Purpose
Lenovo IdeaPad 3 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,247.0,21.0,10588216.59,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,1603.0,184.0,8886137.49,Lenovo,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
HP Ryzen 3 Quad Core 5300U,AMD Ryzen 3 Quad Core Processor,8 GB DDR4,Windows 11,512 GB SSD,14.0,4.3,2025.0,257.0,7630074.899999999,Hp,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
Infinix INBook X1 Neo Series Celeron Quad Core,Intel Celeron Quad Core Processor,4 GB LPDDR4X,Windows 11,128 GB SSD,14.0,4.2,884.0,151.0,3965220.9,Infinix,4,LPDDR4X,Intel,128 GB,SSD,1,Budget (School/Basic Use)
HP Pavilion Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,99.0,13.0,11710530.9,Hp,8,DDR4,AMD,512 GB,SSD,0,General Purpose
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,5.0,1.0,12921444.0,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
DELL Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,29.0,2.0,7460055.899999999,Dell,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
APPLE 2021 Macbook Pro M1 Pro,Apple M1 Pro Processor,16 GB,Mac OS Operating System,1 TB SSD,16.2,4.8,119.0,14.0,45714330.9,Apple,16,,Apple,1 TB,SSD,2,High-Performance (Gaming/Editing)
HP Envy x360 Creator OLED Intel Evo Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X,Windows 11,1 TB SSD,13.3,3.8,6.0,1.0,21722760.9,Hp,16,LPDDR4X,Intel,1 TB,SSD,3,Mid-Range (Work/Productivity)
Infinix ZERO BOOK Series Laptop Intel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB LPDDR5,Windows 11,512 GB SSD,15.6,4.0,32.0,14.0,9734910.12,Infinix,16,LPDDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
DELL Inspiron Ryzen 5 Hexa Core 5625U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,23.0,4.0,9915885.9,Dell,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
ASUS TUF Dash F15 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR5,Windows 11,512 GB SSD,15.6,4.5,97.0,10.0,14733090.9,Asus,16,DDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS ROG Zephyrus M16 Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,16.0,4.3,8.0,0.0,26445510.9,Asus,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
MSI Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 10,512 GB SSD,15.6,4.4,263.0,22.0,11332710.9,Msi,8,DDR4,Intel,512 GB,SSD,0,General Purpose
Lenovo Yoga Slim 7 Pro Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X,Windows 11,512 GB SSD,14.0,4.7,3.0,0.0,13393719.0,Lenovo,16,LPDDR4X,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
HP 15s Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.0,5.0,0.0,6743898.09,Hp,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,14.0,3.9,45.0,9.0,16055460.9,Asus,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
DELL Inspiron 3000 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,3.9,93.0,10.0,8217585.0,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Zenbook 13 Intel EVO Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X,Windows 11,512 GB SSD,13.3,4.4,72.0,9.0,11521620.9,Asus,8,LPDDR4X,Intel,512 GB,SSD,0,General Purpose
Lenovo Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,48.0,2.0,7554510.899999999,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
acer Predator Helios 300 Core i9 11th Gen,Intel Core i9 Processor (11th Gen),16 GB DDR4,Windows 11,1 TB SSD,15.6,5.0,7.0,1.0,26447211.09,Acer,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
acer Predator Helios 300 Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR5,Windows 11,1 TB SSD,15.6,5.0,4.0,0.0,29562525.9,Acer,16,DDR5,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
Avita SATUS S111 Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB DDR4,Windows 11,128 GB SSD,14.1,3.8,689.0,92.0,3115125.9,Avita,4,DDR4,Intel,128 GB,SSD,1,Budget (School/Basic Use)
ALIENWARE Core i7 10th Gen,Intel Core i7 Processor (10th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.0,5.0,2.0,47227500.0,Dell,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
DELL Inspiron Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,3.7,10.0,0.0,10954890.9,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,AMD Ryzen 7 Quad Core Processor,16 GB DDR4,Windows 11,512 GB SSD,14.0,4.2,1232.0,119.0,8876880.9,Asus,16,DDR4,AMD,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
DELL Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5,Windows 11,512 GB SSD,15.6,3.6,11.0,0.0,16811100.9,Dell,16,DDR5,AMD,512 GB,SSD,3,Mid-Range (Work/Productivity)
HP Spectre Intel Evo Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X,Windows 11,512 GB SSD,16.0,3.7,3.0,0.0,27486216.09,Hp,16,LPDDR4X,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Infinix INBook X2 Plus Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X,Windows 11,512 GB SSD,15.6,4.2,197.0,43.0,6421050.899999999,Infinix,8,LPDDR4X,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
ASUS Vivobook 15 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 10,512 GB SSD,15.6,4.4,44.0,1.0,7554510.899999999,Asus,8,DDR4,Intel,512 GB,SSD,0,General Purpose
HP Core i5 7th Gen,Intel Core i5 Processor (7th Gen),8 GB DDR3,Windows 10,256 GB SSD,13.3,4.3,6.0,3.0,11107908.0,Hp,8,DDR3,Intel,256 GB,SSD,0,General Purpose
ASUS TUF Gaming F15 Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.5,499.0,63.0,19172475.9,Asus,16,DDR4,Intel,1 TB,SSD,3,Mid-Range (Work/Productivity)
APPLE 2021 Macbook Pro M1 Pro,Apple M1 Pro Processor,16 GB,Mac OS Operating System,1 TB SSD,14.2,4.8,119.0,14.0,41540175.54,Apple,16,,Apple,1 TB,SSD,2,High-Performance (Gaming/Editing)
HP Victus Ryzen 5 Hexa Core 5600H,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.7,3.0,0.0,13221810.9,Hp,8,DDR4,AMD,512 GB,SSD,0,General Purpose
DELL Insprion 3511 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 10,1 TB HDD,15.6,3.6,25.0,4.0,7932330.899999999,Dell,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
ASUS VivoBook Ultra Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,14.0,4.3,74.0,7.0,10954890.9,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
DELL G15 Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,15.6,4.6,213.0,36.0,13750758.9,Dell,8,DDR4,AMD,512 GB,SSD,0,General Purpose
acer Aspire 5 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 10,1 TB HDD|256 GB SSD,15.6,4.1,85.0,5.0,11359158.3,Acer,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
MSI GF65 Thin Core i5 9th Gen,Intel Core i5 Processor (9th Gen),16 GB DDR4,Windows 10,512 GB SSD,15.6,4.6,893.0,173.0,14166360.9,Msi,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800HS,AMD Ryzen 7 Octa Core Processor,16 GB DDR5,Windows 11,1 TB SSD,15.6,4.0,4.0,0.0,29845890.9,Asus,16,DDR5,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
ASUS Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,5.0,0.0,11238255.9,Asus,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
DELL Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,3.0,2.0,11049345.9,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
ASUS VivoBook Gaming (2020) Core i7 10th Gen,Intel Core i7 Processor (10th Gen),8 GB DDR4,Windows 10,1 TB HDD|256 GB SSD,15.6,4.3,273.0,41.0,16508844.9,Asus,8,DDR4,Intel,1 TB,HDD,0,General Purpose
ALIENWARE Core i7 10th Gen,Intel Core i7 Processor (10th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.1,13.0,4.0,40575978.9,Dell,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
ALIENWARE Core i7 10th Gen,Intel Core i7 Processor (10th Gen),16 GB DDR4,Windows 10,512 GB SSD,15.6,4.9,12.0,0.0,37780110.9,Dell,16,DDR4,Intel,512 GB,SSD,2,High-Performance (Gaming/Editing)
HP Chromebook Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Chrome OS,256 GB SSD,14.0,4.7,3.0,0.0,11710530.9,Hp,8,DDR4,Intel,256 GB,SSD,0,General Purpose
Mi Notebook Horizon Edition 14 Core i7 10th Gen,Intel Core i7 Processor (10th Gen),8 GB DDR4,Windows 10,512 GB SSD,14.0,4.2,569.0,59.0,11332710.9,Mi,8,DDR4,Intel,512 GB,SSD,0,General Purpose
acer Aspire 5 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 10,1 TB HDD,14.0,3.7,337.0,35.0,8876880.9,Acer,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
DELL Vostro Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,14.96,4.4,171.0,18.0,8064567.899999999,Dell,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
HP Pavilion Gaming Ryzen 5 Quad Core 3550H,AMD Ryzen 5 Quad Core Processor,8 GB DDR4,Windows 10,512 GB SSD,15.6,4.4,2208.0,248.0,11332710.9,Hp,8,DDR4,AMD,512 GB,SSD,0,General Purpose
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
APPLE 2021 Macbook Pro M1 Pro,Apple M1 Pro Processor,16 GB,Mac OS Operating System,512 GB SSD,16.2,4.8,119.0,14.0,42125040.9,Apple,16,,Apple,512 GB,SSD,2,High-Performance (Gaming/Editing)
ASUS Core i3 12th Gen,Intel Core i3 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,3.8,5.0,2.0,8121240.899999999,Asus,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
MSI GP65 Leopard Core i7 10th Gen,Intel Core i7 Processor (10th Gen),32 GB DDR4,Windows 10,1 TB HDD|512 GB SSD,15.6,4.4,316.0,53.0,29486961.9,Msi,32,DDR4,Intel,1 TB,HDD,2,High-Performance (Gaming/Editing)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
DELL G15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8 GB DDR4,Windows 10,512 GB SSD,15.6,4.3,333.0,29.0,13202919.9,Dell,8,DDR4,Intel,512 GB,SSD,0,General Purpose
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,58.0,7.0,12088350.9,Asus,16,DDR4,AMD,512 GB,SSD,3,Mid-Range (Work/Productivity)
DELL G15 Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR5,Windows 11,512 GB SSD,15.6,4.0,12.0,4.0,20589300.9,Dell,16,DDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
MSI Bravo Ryzen 5 Hexa Core 5600H,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,15.6,4.4,2239.0,299.0,11051235.0,Msi,8,DDR4,AMD,512 GB,SSD,0,General Purpose
acer Aspire 3 Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,264.0,31.0,6271812.0,Acer,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
DELL Inspiron Ryzen 3 Quad Core 5425U,AMD Ryzen 3 Quad Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,3.9,8.0,0.0,7913439.899999999,Dell,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo IdeaPad Core i3 10th Gen,Intel Core i3 Processor (10th Gen),4 GB DDR4,Windows 11,256 GB SSD,14.0,4.2,66.0,8.0,6798870.899999999,Lenovo,4,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
DELL Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,110.0,22.0,13599630.9,Dell,8,DDR4,AMD,512 GB,SSD,0,General Purpose
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,16 GB DDR5,Windows 11,1 TB SSD,15.6,4.5,90.0,18.0,20022570.9,Asus,16,DDR5,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 10,512 GB SSD,15.6,4.1,45.0,10.0,11126799.0,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
MSI Creator Z16 Core i9 11th Gen,Intel Core i9 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,16.0,4.7,3.0,0.0,39858120.9,Msi,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
Lenovo IdeaPad Slim 5 Ryzen 7 Hexa Core 5700U,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,4.0,1.0,12466170.9,Lenovo,16,DDR4,AMD,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,453.0,38.0,7273035.0,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
acer Predator Helios 300 Core i7 10th Gen,Intel Core i7 Processor (10th Gen),16 GB DDR4,Windows 10,2 TB SSD,15.6,4.7,21.0,5.0,28429065.9,Acer,16,DDR4,Intel,2 TB,SSD,2,High-Performance (Gaming/Editing)
DELL Vostro Core i3 10th Gen,Intel Core i3 Processor (10th Gen),4 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,14.0,4.2,50.0,4.0,8026785.899999999,Dell,4,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,4658.0,449.0,7310628.09,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,9991449.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS Chromebook Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB LPDDR4,Chrome OS,512 GB SSD,11.6,3.6,387.0,51.0,3587400.9,Asus,4,LPDDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
DELL Inspiron Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X,Windows 10,1 TB SSD,13.3,4.5,22.0,3.0,14770872.9,Dell,8,LPDDR4X,Intel,1 TB,SSD,0,General Purpose
Lenovo IdeaPad 3 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,280.0,21.0,10010340.9,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.4,405.0,48.0,6609960.899999999,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
acer Predator Helios 300 Core i9 11th Gen,Intel Core i9 Processor (11th Gen),16 GB DDR4,Windows 11,1 TB SSD,15.6,4.4,57.0,7.0,22667310.9,Acer,16,DDR4,Intel,1 TB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad 3 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,247.0,21.0,10588216.59,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS EeeBook 12 Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB DDR4,Windows 11,1 TB HDD,11.6,4.0,20.0,1.0,3587400.9,Asus,4,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,1603.0,184.0,8886137.49,Lenovo,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
HP 15s Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.0,5.0,0.0,7460055.899999999,Hp,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
acer Aspire 7 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,302.0,36.0,12277260.9,Acer,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,14.0,3.9,37.0,1.0,7233363.899999999,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Infinix X1 Slim Series Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X,Windows 11,256 GB SSD,14.0,4.3,4379.0,580.0,5854320.899999999,Infinix,8,LPDDR4X,Intel,256 GB,SSD,1,Budget (School/Basic Use)
APPLE MacBook Pro Core i5 8th Gen,Intel Core i5 Processor (8th Gen),8 GB DDR3,Mac OS Operating System,512 GB SSD,13.3,4.2,107.0,13.0,30979350.9,Apple,8,DDR3,Intel,512 GB,SSD,0,General Purpose
Lenovo Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,453.0,38.0,7273035.0,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
acer Aspire 3 Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB DDR4,Windows 11,256 GB SSD,14.0,4.5,24.0,6.0,7934031.09,Acer,4,DDR4,Intel,256 GB,SSD,0,General Purpose
acer Aspire 5 Ryzen 5 Hexa Core AMD Ryzen 5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,15.6,4.4,61.0,7.0,10577070.9,Acer,8,DDR4,AMD,512 GB,SSD,0,General Purpose
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,9991449.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
